experiment_id,label,left_arm,right_arm,multiplicity_family,scope,endpoint,estimand,n_ita_pairs,n_common_served,left_ita_rate,right_ita_rate,ita_delta_right_minus_left,common_served_outcome_gain_n,common_served_outcome_loss_n,common_served_outcome_contribution,right_only_service_positive_n,right_only_service_positive_contribution,left_only_service_positive_n,left_only_service_positive_contribution,decomposition_sum,common_served_conditional_delta,provenance
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.38181818181818183,0.35454545454545455,-0.02727272727272727,3,6,-0.02727272727272727,0,0.0,0,0.0,-0.02727272727272727,-0.03225806451612903,blinded_model_panel_sensitivity_not_root
E8,legal_vs_soft,time_scope_soft_veto,time_scope_soft_legal_order,primary,MCR,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.3090909090909091,0.2636363636363636,-0.045454545454545456,2,7,-0.045454545454545456,0,0.0,0,0.0,-0.045454545454545456,-0.053763440860215055,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.1409090909090909,0.1590909090909091,0.01818181818181818,9,5,0.01818181818181818,0,0.0,0,0.0,0.01818181818181818,0.02072538860103627,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.2863636363636364,0.2863636363636364,0.0,16,16,0.0,0,0.0,0,0.0,0.0,0.0,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,220,193,0.42727272727272725,0.44545454545454544,0.01818181818181818,19,15,0.01818181818181818,0,0.0,0,0.0,0.01818181818181818,0.02072538860103627,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.05454545454545454,0.07272727272727272,0.01818181818181818,2,0,0.01818181818181818,0,0.0,0,0.0,0.01818181818181818,0.02,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.42727272727272725,0.43636363636363634,0.00909090909090909,12,11,0.00909090909090909,0,0.0,0,0.0,0.00909090909090909,0.01,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.4818181818181818,0.509090909090909,0.02727272727272727,13,10,0.02727272727272727,0,0.0,0,0.0,0.02727272727272727,0.03,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,100,0.21818181818181817,0.2,-0.01818181818181818,7,9,-0.01818181818181818,0,0.0,0,0.0,-0.01818181818181818,-0.02,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,MCR,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.22727272727272727,0.24545454545454545,0.01818181818181818,7,5,0.01818181818181818,0,0.0,0,0.0,0.01818181818181818,0.021505376344086023,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,MCR,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.14545454545454545,0.13636363636363635,-0.00909090909090909,4,5,-0.00909090909090909,0,0.0,0,0.0,-0.00909090909090909,-0.010752688172043012,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,MCR,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.37272727272727274,0.38181818181818183,0.00909090909090909,6,5,0.00909090909090909,0,0.0,0,0.0,0.00909090909090909,0.010752688172043012,blinded_model_panel_sensitivity_not_root
E8,soft_vs_hard,atemporal_hard_veto,time_scope_soft_veto,primary,MCR,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,110,93,0.2727272727272727,0.3090909090909091,0.03636363636363636,7,3,0.03636363636363636,0,0.0,0,0.0,0.03636363636363636,0.043010752688172046,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,ALL,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,151,0.043333333333333335,0.043333333333333335,0.0,8,3,0.016666666666666666,1,0.0033333333333333335,6,-0.02,0.0,0.033112582781456956,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,ALL,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,151,0.32,0.18,-0.14,16,23,-0.023333333333333334,10,0.03333333333333333,45,-0.15,-0.13999999999999999,-0.046357615894039736,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,ALL,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,300,151,0.36333333333333334,0.22333333333333333,-0.14,22,24,-0.006666666666666667,11,0.03666666666666667,51,-0.17,-0.14,-0.013245033112582781,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,DA,clinical_complete,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,66,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,DA,compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,66,0.44,0.2866666666666667,-0.15333333333333332,12,11,0.006666666666666667,8,0.05333333333333334,32,-0.21333333333333335,-0.15333333333333335,0.015151515151515152,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,DA,complete_or_compatible_partial,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,66,0.44,0.2866666666666667,-0.15333333333333332,12,11,0.006666666666666667,8,0.05333333333333334,32,-0.21333333333333335,-0.15333333333333335,0.015151515151515152,blinded_model_panel_sensitivity_not_root
RCR3,compact4_vs_rcr3,rcr3_default,compact4_true3gen,primary,DA,task,ita_service_path_arithmetic_decomposition_not_causal_mediation,150,66,0.26666666666666666,0.11333333333333333,-0.15333333333333332,5,12,-0.04666666666666667,4,0.02666666666666667,20,-0.13333333333333333,-0.15333333333333332,-0.10606060606060606,blinded_model_panel_sensitivity_not_root
