experiment_id,label,scope,endpoint,panel_delta,panel_sign,panel_holm_adjusted_p,panel_holm_significant,reviewer_a_delta,reviewer_b_delta,reviewer_c_delta,reviewer_delta_min,reviewer_delta_max,reviewer_delta_range,all_reviewers_same_direction,all_reviewers_and_panel_same_direction,reviewer_holm_significant_n,panel_and_all_reviewers_holm_robust_same_direction,provenance
E1,shuffle_vs_fixed_clean__ab02_flat,DA,complete_or_compatible_partial,0.01,positive,1.0,False,-0.06,-0.01,-0.02,-0.06,-0.01,0.049999999999999996,True,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,MCR,clinical_complete,0.04,positive,1.0,False,0.01,0.03,0.03,0.01,0.03,0.019999999999999997,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,MCR,compatible_partial,-0.04,negative,1.0,False,-0.01,-0.03,-0.05,-0.05,-0.01,0.04,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__ab02_flat,MCR,complete_or_compatible_partial,0.0,zero,1.0,False,0.0,0.0,-0.02,-0.02,0.0,0.02,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,ALL,clinical_complete,0.025,positive,0.5263957469724119,False,0.025,0.01,0.02,0.01,0.025,0.015000000000000001,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,ALL,compatible_partial,-0.035,negative,1.0,False,-0.025,-0.035,-0.025,-0.035,-0.025,0.010000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,ALL,complete_or_compatible_partial,-0.01,negative,1.0,False,0.0,-0.025,-0.005,-0.025,0.0,0.025,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,DA,clinical_complete,0.01,positive,1.0,False,0.0,-0.03,0.01,-0.03,0.01,0.04,False,False,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,DA,compatible_partial,-0.04,negative,1.0,False,-0.02,-0.02,-0.03,-0.03,-0.02,0.009999999999999998,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,DA,complete_or_compatible_partial,-0.03,negative,1.0,False,-0.02,-0.05,-0.02,-0.05,-0.02,0.030000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,MCR,clinical_complete,0.04,positive,1.0,False,0.05,0.05,0.03,0.03,0.05,0.020000000000000004,True,True,0,False,model_reviewer_perturbation_not_root
E1,shuffle_vs_fixed_clean__aphhm_hierarchical,MCR,compatible_partial,-0.03,negative,1.0,False,-0.03,-0.05,-0.02,-0.05,-0.02,0.030000000000000002,True,True,0,False,model_reviewer_perturbation_not_root
