reviewer_id,experiment_id,arm_id,endpoint,n_ita,n_served,positive_n,rate_ita,provenance
reviewer_a,E12,raw_k5_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pairwise,clinical_complete,300,300,41,0.13666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pairwise,compatible_partial,300,300,111,0.37,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pairwise,complete_or_compatible_partial,300,300,152,0.5066666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pointwise,clinical_complete,300,299,40,0.13333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pointwise,compatible_partial,300,299,106,0.35333333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,raw_k5_pointwise,complete_or_compatible_partial,300,299,146,0.4866666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pairwise,clinical_complete,300,299,33,0.11,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pairwise,compatible_partial,300,299,99,0.33,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pairwise,complete_or_compatible_partial,300,299,132,0.44,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pointwise,clinical_complete,300,299,27,0.09,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pointwise,compatible_partial,300,299,101,0.33666666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k10_pointwise,complete_or_compatible_partial,300,299,128,0.4266666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_first,clinical_complete,300,300,29,0.09666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_first,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_first,complete_or_compatible_partial,300,300,118,0.3933333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pairwise,clinical_complete,300,298,33,0.11,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pairwise,compatible_partial,300,298,105,0.35,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pairwise,complete_or_compatible_partial,300,298,138,0.46,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pointwise,clinical_complete,300,298,30,0.1,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pointwise,compatible_partial,300,298,104,0.3466666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E12,s1_k5_pointwise,complete_or_compatible_partial,300,298,134,0.44666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_adaptive4v2_v1,clinical_complete,300,300,50,0.16666666666666666,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_adaptive4v2_v1,compatible_partial,300,300,89,0.2966666666666667,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_adaptive4v2_v1,complete_or_compatible_partial,300,300,139,0.4633333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_lite_v1,clinical_complete,300,300,48,0.16,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_lite_v1,compatible_partial,300,300,85,0.2833333333333333,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E14x,mosaic_lite_v1,complete_or_compatible_partial,300,300,133,0.44333333333333336,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,collapse_obligation_ledger,clinical_complete,400,400,67,0.1675,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,collapse_obligation_ledger,compatible_partial,400,400,146,0.365,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,collapse_obligation_ledger,complete_or_compatible_partial,400,400,213,0.5325,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,e7_contrast,clinical_complete,400,400,63,0.1575,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,e7_contrast,compatible_partial,400,400,149,0.3725,individual_blinded_model_reviewer_sensitivity_not_root
reviewer_a,E4,e7_contrast,complete_or_compatible_partial,400,400,212,0.53,individual_blinded_model_reviewer_sensitivity_not_root
