case_id,cohort,arm,opt1,opt2,rr,option_rank,best_rank,official_opt1,official_opt2,official_rr,reverted,swapped,n_merge_clusters,route_path,n_synthetic,subdivided_parents,pool_pre,pool_post
118,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,subdivide,3,B1.1,"B1.1.L31,B1.1.L32,B1.1.L33,B5.1,B3.3","B1.1.L31,B1.1.L32,B1.1.L33,B5.1,B3.3"
119,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B5.3,B2.5,B4.4,B1.3,B3.3","B5.3,B2.5,B4.4,B1.3,B3.3"
120,remain76,subdivide,0,0,0.3333333333333333,3,9,0,1,0.5,0,0,,subdivide,8,"B1.3,B2.3,B4.3,B5.3","B3.4,B1.3.L31,B1.3.L32,B2.3.L31,B2.3.L32","B3.4,B1.3.L31,B1.3.L32,B2.3.L31,B2.3.L32"
122,remain76,subdivide,0,1,0.5,2,3,0,1,0.5,0,0,,calibrate_only,,,"B3.1,B4.1,B2.1,B1.1","B3.1,B4.1,B2.1,B1.1"
124,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.2,B3.2,B2.1,B4.1","B1.2,B3.2,B2.1,B4.1"
125,remain76,subdivide,0,0,0.0,1,,0,0,0.0,0,0,,calibrate_only,,,"B4.1,B2.1,B3.4,B1.1,B5.1","B4.1,B2.1,B3.4,B1.1,B5.1"
128,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.3,B3.3,B1.2,B2.2","B4.3,B3.3,B1.2,B2.2"
129,remain76,subdivide,0,0,0.0,3,,0,0,0.0,0,0,,calibrate_only,,,"B5.1,B1.1,B4.1,B2.3,B3.1","B5.1,B1.1,B4.1,B2.3,B3.1"
132,remain76,subdivide,1,1,1.0,1,5,1,1,1.0,0,0,,subdivide,8,"B1.1,B4.3","B1.1.L31,B1.1.L32,B1.1.L33,B1.1.L34,B4.3.L31","B1.1.L31,B1.1.L32,B1.1.L33,B1.1.L34,B4.3.L31"
134,remain76,subdivide,1,1,1.0,1,9,1,1,1.0,0,0,,subdivide,10,"B4.1,B5.1,B3.1,B2.3,B1.1","B4.1.L31,B4.1.L32,B5.1.L31,B5.1.L32,B3.1.L31","B4.1.L31,B4.1.L32,B5.1.L31,B5.1.L32,B3.1.L31"
137,remain76,subdivide,1,1,1.0,1,10,1,1,1.0,0,0,,subdivide,12,"B4.2,B3.2,B2.1,B1.2","B4.2.L31,B4.2.L32,B4.2.L33,B3.2.L31,B3.2.L32","B4.2.L31,B4.2.L32,B4.2.L33,B3.2.L31,B3.2.L32"
139,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.3,B4.3,B2.3,B3.2","B1.3,B4.3,B2.3,B3.2"
140,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B3.1,B2.3,B1.1,B4.2","B3.1,B2.3,B1.1,B4.2"
147,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B5.1,B4.1,B2.1,B1.1,B3.1","B5.1,B4.1,B2.1,B1.1,B3.1"
149,remain76,subdivide,0,1,0.5,2,18,1,1,1.0,0,0,,subdivide,20,"B3.1,B1.1,B4.1,B5.1,B2.1","B3.1.L31,B3.1.L32,B3.1.L33,B3.1.L34,B1.1.L31","B3.1.L31,B3.1.L32,B3.1.L33,B3.1.L34,B1.1.L31"
150,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.3,B1.1,B2.1,B3.1","B4.3,B1.1,B2.1,B3.1"
151,remain76,subdivide,0,1,0.5,2,6,0,1,0.5,0,0,,subdivide,6,"B1.1,B4.1,B2.3","B3.2,B1.1.L31,B1.1.L32,B4.1.L31,B4.1.L32","B3.2,B1.1.L31,B1.1.L32,B4.1.L31,B4.1.L32"
156,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B2.3,B3.3,B4.2,B1.3,B5.3","B2.3,B3.3,B4.2,B1.3,B5.3"
158,remain76,subdivide,0,1,0.5,2,8,1,1,1.0,0,0,,subdivide,8,"B2.2,B1.2,B5.2,B3.2","B2.2.L31,B2.2.L32,B1.2.L31,B1.2.L32,B5.2.L31","B2.2.L31,B2.2.L32,B1.2.L31,B1.2.L32,B5.2.L31"
161,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.1,B5.1,B3.4,B2.3,B1.3","B4.1,B5.1,B3.4,B2.3,B1.3"
163,remain76,subdivide,0,1,0.5,2,6,0,1,0.5,0,0,,subdivide,6,"B1.3,B5.3,B3.3","B4.4,B1.3.L31,B1.3.L32,B5.3.L31,B5.3.L32","B4.4,B1.3.L31,B1.3.L32,B5.3.L31,B5.3.L32"
164,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B4.2,B1.1,B3.1,B2.1,B5.1","B4.2,B1.1,B3.1,B2.1,B5.1"
165,remain76,subdivide,0,1,0.5,2,4,0,1,0.5,0,0,,calibrate_only,,,"B2.1,B1.1,B3.2,B4.2","B2.1,B1.1,B3.2,B4.2"
167,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.1,B4.1,B3.2,B2.1","B1.1,B4.1,B3.2,B2.1"
173,remain76,subdivide,0,1,0.5,2,3,0,1,0.5,0,0,,calibrate_only,,,"B2.1,B1.2,B3.1,B4.1,B5.1","B2.1,B1.2,B3.1,B4.1,B5.1"
174,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B3.2,B1.2,B4.2,B2.2,B5.2","B3.2,B1.2,B4.2,B2.2,B5.2"
177,remain76,subdivide,0,0,0.3333333333333333,3,10,0,1,0.5,0,0,,subdivide,9,"B3.4,B4.1,B5.1","B1.4,B3.4.L31,B3.4.L32,B3.4.L33,B2.1","B1.4,B3.4.L31,B3.4.L32,B3.4.L33,B2.1"
181,remain76,subdivide,1,1,1.0,1,3,1,1,1.0,0,0,,calibrate_only,,,"B5.1,B2.3,B1.3,B3.4,B4.1","B5.1,B2.3,B1.3,B3.4,B4.1"
182,remain76,subdivide,1,1,1.0,1,1,1,1,1.0,0,0,,calibrate_only,,,"B1.3,B4.3,B2.3,B3.3","B1.3,B4.3,B2.3,B3.3"
183,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B2.11,B1.1,B4.1,B3.5","B2.11,B1.1,B4.1,B3.5"
186,remain76,subdivide,0,0,0.3333333333333333,3,7,0,1,0.5,0,0,,subdivide,6,"B1.3,B2.2,B3.2","B4.1,B1.3.L31,B1.3.L32,B2.2.L31,B2.2.L32","B4.1,B1.3.L31,B1.3.L32,B2.2.L31,B2.2.L32"
187,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B3.1,B4.2,B1.2,B2.2","B3.1,B4.2,B1.2,B2.2"
188,remain76,subdivide,0,0,0.0,2,,0,0,0.0,0,0,,calibrate_only,,,"B3.1,B1.1,B5.1,B2.4,B4.2","B3.1,B1.1,B5.1,B2.4,B4.2"
