endpoint,scope,left,right,n,left_only,right_only,delta_right_minus_left,slice_stratified_case_bootstrap_ci95,bootstrap_ci_multiplicity_status,exact_mcnemar_p,holm_adjusted_p_within_endpoint_family,endpoint_multiplicity_family_n,coherent_family_holm_p,coherent_multiplicity_family
clinical_complete,ALL,forest,lite,800,20,19,-0.00125,"[-0.01625, 0.01375]",unadjusted,1.0,1.0,30,1.0,clinical_complete_overall_10
clinical_complete,DA,forest,lite,400,5,7,0.005,"[-0.0125, 0.0225]",unadjusted,0.7744140625,1.0,30,1.0,clinical_complete_DA_10
clinical_complete,MCR,forest,lite,400,15,12,-0.0075,"[-0.0325, 0.0175]",unadjusted,0.7011080384254456,1.0,30,1.0,clinical_complete_MCR_10
partial,ALL,collapse3c,multistance,800,35,32,-0.00375,"[-0.02375, 0.01625]",unadjusted,0.807194691367025,1.0,30,,
partial,DA,collapse3c,multistance,400,23,22,-0.0025,"[-0.035, 0.03]",unadjusted,1.0,1.0,30,,
partial,MCR,collapse3c,multistance,400,12,10,-0.005,"[-0.0275, 0.0175]",unadjusted,0.8318119049072266,1.0,30,,
partial,ALL,collapse3c,forest,800,55,71,0.02,"[-0.0075, 0.0475]",unadjusted,0.18122406088142373,1.0,30,,
partial,DA,collapse3c,forest,400,39,41,0.005,"[-0.04, 0.0475]",unadjusted,0.9110721212260928,1.0,30,,
partial,MCR,collapse3c,forest,400,16,30,0.035,"[0.0025, 0.0675]",unadjusted,0.054076031858869555,1.0,30,,
partial,ALL,collapse3c,impc,800,56,68,0.015,"[-0.01125, 0.0425]",unadjusted,0.3232476471849839,1.0,30,,
partial,DA,collapse3c,impc,400,41,41,0.0,"[-0.045, 0.045]",unadjusted,1.0,1.0,30,,
partial,MCR,collapse3c,impc,400,15,27,0.03,"[-0.0025, 0.0625]",unadjusted,0.08842954698775429,1.0,30,,
partial,ALL,e7,v0,800,34,42,0.01,"[-0.01125, 0.03125]",unadjusted,0.4221911049923154,1.0,30,,
partial,DA,e7,v0,400,28,23,-0.0125,"[-0.0475, 0.0225]",unadjusted,0.5758493477318467,1.0,30,,
partial,MCR,e7,v0,400,6,19,0.0325,"[0.01, 0.0575]",unadjusted,0.01463329792022705,0.3511991500854492,30,,
partial,ALL,forest,e7,800,94,54,-0.05,"[-0.07875, -0.02125]",unadjusted,0.00126875213977975,0.03425630777405325,30,,
partial,DA,forest,e7,400,58,40,-0.045,"[-0.0925, 0.0025]",unadjusted,0.08541058911280434,1.0,30,,
partial,MCR,forest,e7,400,36,14,-0.055,"[-0.09, -0.02]",unadjusted,0.0026021714567221466,0.06505428641805366,30,,
partial,ALL,forest,B06,800,50,51,0.00125,"[-0.02375, 0.025]",unadjusted,1.0,1.0,30,,
partial,DA,forest,B06,400,30,31,0.0025,"[-0.035, 0.04]",unadjusted,1.0,1.0,30,,
partial,MCR,forest,B06,400,20,20,0.0,"[-0.03, 0.03]",unadjusted,1.0,1.0,30,,
partial,ALL,B06,e7,800,89,48,-0.05125,"[-0.08, -0.02375]",unadjusted,0.0005809879886357793,0.0168486516704376,30,,
partial,DA,B06,e7,400,55,36,-0.0475,"[-0.095, -0.0025]",unadjusted,0.05857352841018888,1.0,30,,
partial,MCR,B06,e7,400,34,12,-0.055,"[-0.0875, -0.0225]",unadjusted,0.0016414913408482334,0.04267877486205407,30,,
partial,ALL,B07,e7,800,95,52,-0.05375,"[-0.08375, -0.025]",unadjusted,0.0004896357481684633,0.014689072445053897,30,,
partial,DA,B07,e7,400,59,40,-0.0475,"[-0.095, 0.0]",unadjusted,0.06990057369494637,1.0,30,,
partial,MCR,B07,e7,400,36,12,-0.06,"[-0.0925, -0.0275]",unadjusted,0.0007172696733945827,0.020083550855048315,30,,
partial,ALL,B07,B06,800,64,62,-0.0025,"[-0.03, 0.025]",unadjusted,0.9290596866317957,1.0,30,,
partial,DA,B07,B06,400,41,41,0.0,"[-0.045, 0.0425]",unadjusted,1.0,1.0,30,,
partial,MCR,B07,B06,400,23,21,-0.005,"[-0.0375, 0.0275]",unadjusted,0.880395821280672,1.0,30,,
partial,ALL,forest,lite,800,54,45,-0.01125,"[-0.035, 0.01375]",unadjusted,0.42152334361577004,1.0,30,,
partial,DA,forest,lite,400,31,33,0.005,"[-0.035, 0.045]",unadjusted,0.9006532462520331,1.0,30,,
partial,MCR,forest,lite,400,23,12,-0.0275,"[-0.0575, 0.0]",unadjusted,0.0895310789346695,1.0,30,,
task,DA,collapse3c,multistance,400,47,42,-0.0125,"[-0.06, 0.0325]",unadjusted,0.6718086491746106,1.0,20,1.0,da_option_mapper_10
task,MCR,collapse3c,multistance,400,15,11,-0.01,"[-0.035, 0.015]",unadjusted,0.557197093963623,1.0,20,1.0,mcr_semantic_judge_10
task,DA,collapse3c,forest,400,44,47,0.0075,"[-0.04, 0.055]",unadjusted,0.834081039304942,1.0,20,1.0,da_option_mapper_10
task,MCR,collapse3c,forest,400,31,20,-0.0275,"[-0.0625, 0.0075]",unadjusted,0.16077960181198847,1.0,20,1.0,mcr_semantic_judge_10
task,DA,collapse3c,impc,400,47,45,-0.005,"[-0.0525, 0.0425]",unadjusted,0.917040519652471,1.0,20,1.0,da_option_mapper_10
task,MCR,collapse3c,impc,400,42,22,-0.05,"[-0.09, -0.0125]",unadjusted,0.01685819004428113,0.33572658236956404,20,0.1685819004428113,mcr_semantic_judge_10
task,DA,e7,v0,400,38,31,-0.0175,"[-0.0575, 0.0225]",unadjusted,0.4703685318581444,1.0,20,1.0,da_option_mapper_10
task,MCR,e7,v0,400,14,9,-0.0125,"[-0.035, 0.01]",unadjusted,0.4048728942871094,1.0,20,1.0,mcr_semantic_judge_10
task,DA,forest,e7,400,73,46,-0.0675,"[-0.12, -0.015]",unadjusted,0.016786329118478202,0.33572658236956404,20,0.16786329118478202,da_option_mapper_10
task,MCR,forest,e7,400,26,25,-0.0025,"[-0.0375, 0.0325]",unadjusted,1.0,1.0,20,1.0,mcr_semantic_judge_10
task,DA,forest,B06,400,47,38,-0.0225,"[-0.0675, 0.0225]",unadjusted,0.38566942011927957,1.0,20,1.0,da_option_mapper_10
task,MCR,forest,B06,400,20,24,0.01,"[-0.0225, 0.0425]",unadjusted,0.651587827208914,1.0,20,1.0,mcr_semantic_judge_10
task,DA,B06,e7,400,60,42,-0.045,"[-0.095, 0.005]",unadjusted,0.09183767826908232,1.0,20,0.8265391044217408,da_option_mapper_10
task,MCR,B06,e7,400,29,24,-0.0125,"[-0.0475, 0.0225]",unadjusted,0.5831321542611763,1.0,20,1.0,mcr_semantic_judge_10
task,DA,B07,e7,400,65,47,-0.045,"[-0.0975, 0.005]",unadjusted,0.10778227965475412,1.0,20,0.862258237238033,da_option_mapper_10
task,MCR,B07,e7,400,27,26,-0.0025,"[-0.0375, 0.0325]",unadjusted,1.0,1.0,20,1.0,mcr_semantic_judge_10
task,DA,B07,B06,400,40,40,0.0,"[-0.0425, 0.045]",unadjusted,1.0,1.0,20,1.0,da_option_mapper_10
task,MCR,B07,B06,400,22,26,0.01,"[-0.025, 0.045]",unadjusted,0.6654658120766186,1.0,20,1.0,mcr_semantic_judge_10
task,DA,forest,lite,400,45,31,-0.035,"[-0.0775, 0.0075]",unadjusted,0.1353851052994308,1.0,20,0.9476957370960155,da_option_mapper_10
task,MCR,forest,lite,400,19,15,-0.01,"[-0.0375, 0.0175]",unadjusted,0.6075913612730801,1.0,20,1.0,mcr_semantic_judge_10
